,BG_CGE_ADARB2_NPY_Inh,BG_CGE_ADARB2_NR2F2_Inh,BG_CGE_ADARB2_VIPR1_Inh,BG_CGE_RELN_LAMP5_Inh,BG_LGE_FOXP2_SLIT2_Inh,BG_LGE_PCP4_DRD1_Inh,BG_LGE_PCP4_DRD2_Inh,BG_LGE_PCP4_EBF1_Inh,BG_LGE_PCP4_IL17REL_Inh,BG_LGE_PCP4_SLC1A3_Inh,BG_MGE_SST_NPY_Inh,BG_MGE_SST_PVALB_Inh,BG_MGE_SST_SATB1_Inh,BG_MGE_SST_SCUBE1_Inh,BG_MGE_SST_ST18_Inh,BG_RELN_LHX8_Inh,BG_SNCG_NRP1_Inh
HS_CGE_interneuron,0.16099366951591124,0.17374866080982115,0.048029692661869586,0.04033844839950636,0.0727309140751671,0.0013732556441810443,0.00703299278794247,0.02765382010363624,0.009586998980031021,0.0198303441536713,0.01554725684716588,0.02116065838024247,0.02674603220684075,0.034134924932422914,0.023809698708981804,0.032117793799512726,0.04761205692730281
HS_Eccentric_medium_spiny_neuron,0.005420909810058982,0.003622028316063648,0.012001282230166428,6.978866321991454e-05,0.12118589188751246,0.03006879052834871,0.0721517456357762,0.14828199948918713,0.2444506375188821,0.025760015413094712,0.0003401573734083551,0.0011143067454687087,0.00042061389466394223,0.00020381034869396093,0.00013800094682859488,0.000603396633720947,0.016675103462855518
HS_LAMP5_LHX6_and_Chandelier,0.1366150199721683,0.04940433489338732,0.06289575317231358,0.448856426082674,0.031173241224548277,0.00023630416973842105,0.0008438023190701184,0.005215053569418792,0.003366768940549697,0.0545951875011811,0.01923487895888082,0.06905758676565835,0.043571411329104574,0.04140855747311892,0.015796215388727948,0.025615971748501203,0.02910021453058882
HS_MGE_interneuron,0.020802625457777415,0.030540759795497457,0.027153137016763102,0.0058858017178670076,0.0809817733799046,0.0027156904426666904,0.011808889183678981,0.04862455302214773,0.009976342221949087,0.023670428042805402,0.22511427662091457,0.28009611540934765,0.1616404158440387,0.04947599240546642,0.021913135689285882,0.040446685820945766,0.03624900680911953
HS_Medium_spiny_neuron,0.0006716794243365561,0.00045673019675301446,0.0011894239061138946,0,0.00796745320684347,0.5198440754997644,0.2918818734516709,0.10057415321251977,0.03886879830860513,0.07382052078703993,0.00016642449638510016,0.00036685318308244264,0.00014693520519404015,0.00023595830999750714,0,0.000446549276869121,0.002685741367446416
