,BG_CGE_ADARB2_NPY_Inh,BG_CGE_ADARB2_NR2F2_Inh,BG_CGE_ADARB2_VIPR1_Inh,BG_CGE_RELN_LAMP5_Inh,BG_LGE_FOXP2_SLIT2_Inh,BG_LGE_PCP4_DRD1_Inh,BG_LGE_PCP4_DRD2_Inh,BG_LGE_PCP4_EBF1_Inh,BG_LGE_PCP4_IL17REL_Inh,BG_LGE_PCP4_SLC1A3_Inh,BG_MGE_SST_NPY_Inh,BG_MGE_SST_PVALB_Inh,BG_MGE_SST_SATB1_Inh,BG_MGE_SST_SCUBE1_Inh,BG_MGE_SST_ST18_Inh,BG_RELN_LHX8_Inh,BG_SNCG_NRP1_Inh
MM_Sst Mme,0.1340724673901006,0.0033512698709681184,0.02594773555807068,0.00013359545335608783,0.014559786772085892,0.018259324829213143,0.011142084353873368,0.013842162369136204,0.004845855256413379,0.005055810496398859,0.00686317212226748,0.012720809560506646,0.0072988842903235086,6.283251792470837e-05,0.0008633284198875241,0.004027279072062702,0.002476936360001494
MM_Sst Myh8,0.020967718485694474,0.0020395426554053564,0.021948926470708865,6.761054916733074e-05,0.027146480870967705,0.052262103290187066,0.022991151177302056,0.02326522772640637,0.002361746029282482,0.006622979002361609,0.011772643239213527,0.004096901567737393,0.026592881490175385,0.0006030790166409378,0.0010020008027696817,0.0038253030745741315,0.004035319327720789
MM_Sst Nmbr,0.16731148647396016,0.0006955089188540382,0.013180460448169479,9.41715761736727e-05,0.007160303815930776,0.015749828157714477,0.005924615246181122,0.025155409399701994,0.0069362457727611335,0.009911904930870966,0.005997699924761724,0.004302225972279231,0.0064966427225857356,0.001370082418930973,0.00017042072554091016,0.0015788688818302375,0.0026529701957343473
MM_Sst Nts,0.034439016965694,0.0006672691324011999,0.01738991268252041,0.00013506966859925374,0.015292618503110134,0.004881393990919711,0.005802699161604404,0.013667353383934724,0.001765267004061451,0.020414818513305046,0.008494167003768018,0.01279544649673479,0.01918223179776491,0.0005585643277428952,0.001169666970414211,0.002847248611125879,0.009038591167916617
MM_Sst Syndig1l,0.015323877265485735,0.0023122169977506614,0.001665122637101571,0,0.015291491843169622,0.1484068702266113,0.053713223691569466,0.054288380908548727,0.02563864398193729,0.011766604558353584,0.006905743026857723,0.0016085029777341791,0.008469311725245569,0.00028439951821295856,0.0002907282780176802,0.0008115361752899432,0.0024980683422281018
MM_Vip Cbln4 HPF,0.008663393258139404,0.036367405418208903,0.0034844826347009894,0.001519516621090477,0.0361577511009923,0.0023027376546636254,0.010084509393921899,0.014586326177013192,0.003619094801943689,0.011834245047412952,0.0026290577707946926,0.008096713457372885,0.010265154373809728,0.0005382803884607862,0.0016015593352413972,0.0036086238176407564,0.007240802134996805
MM_Vip Cp Rspo1,0.003213564775857777,0.01638677261487706,0.0009425265532195277,0.0014216474936277854,0.045594493380810515,0.02532787771247975,0.03698182552734962,0.03116007699220445,0.004910509777165595,0.008421917470550062,0.0033967735988665523,0.008201289311650565,0.010672326002285142,0.0004389917263100604,0.001995830112142432,0.0015652514023504823,0.007371722915348067
MM_Vip Igfbp6,0.00471407677302448,0.07875703429475925,0.003549874232508498,0.006654890542736347,0.05665876726014739,0.0012224972926091467,0.010857729491190578,0.03663751332688835,0.005869035598299501,0.012939324509280023,0.003434041025565506,0.0074550141435039295,0.006762293439965665,0.0004031198841892885,0.0016203095967559586,0.004299644700757081,0.004020603975801701
MM_Vip Lmo1,0.0015566151819876206,0.009702486476911281,0.0012030798191050105,0.0026730108907975446,0.038203679368993174,0.035860705807120884,0.05575265268870526,0.042256289972960895,0.00908086540701653,0.031170123743891692,0.0021067175568697414,0.004277313499203227,0.005074442054381732,0.0004085600525198049,0.0007102257351762485,0.0021885934013383236,0.010212784475055883
MM_Vip Mybpc1,0.0010232972205272304,0.02580024639740063,0.0024276076179352325,0.0021114929083300297,0.05394635251134995,0.009279912365979468,0.029078427971771743,0.018744675360174497,0.005304664120107926,0.0085393443447142,0.005218643601474063,0.01421851556439611,0.03076366330369234,0.00017594350860802217,0.001075262884500962,0.0005329980743444373,0.006647661570725408
MM_Vip Pcdh11x,0.002323551294296832,0.02125751575062506,0.0008568356158372853,0.002262421387270951,0.037779627590474124,0.019943157459089766,0.035356937962780104,0.025519754548677026,0.005140428181261082,0.011010835413163843,0.0020754449408416356,0.0040497742064469185,0.004996535335687825,0.00014353369481826312,0.0021330624650708406,0.002674848295809695,0.006261663915238115
MM_Vip Serpinf1,0.0004133586453372081,0.01683865420542502,0.0013219831500847724,0.06648110349199089,0.036199142444016716,0.00574520614751866,0.022011794812841788,0.017320198608308194,0.004248872753777199,0.009587512855661385,0.0026091707794041077,0.008332411030260991,0.007635140608706065,0.00042519305427282704,0.004439320147453571,0.0012320468983271192,0.00627885142883758
