,BG_CACNA1H_NRP1_Ex,BG_CACNA1H_SLIT1_Ex,BG_CACNA1H_ZBTB20_Ex,BG_DACH2_BDNF_Ex,BG_DACH2_CCN2_Ex,BG_DACH2_CHD7_Ex,BG_DACH2_GRIK1_Ex,BG_DACH2_LYPD1_Ex,BG_DACH2_MEIS2_Ex,BG_DACH2_NDST4_Ex,BG_DACH2_SV2C_Ex,BG_DACH2_TAC1_Ex,BG_DACH2_ZNF381_Ex,BG_SATB2_BCL6_Ex,BG_SATB2_CCK_Ex,BG_SATB2_FOXP2_Ex,BG_SATB2_GLRA3_Ex,BG_SATB2_KIAA1217_Ex,BG_SATB2_RARB_Ex,BG_SATB2_SCUBE1_Ex,BG_SATB2_TAC1_Ex,BG_SATB2_TFAP2D_Ex,BG_SATB2_ZNF385B_Ex
HS_Amygdala_excitatory,0.05843686501683935,0.003643058566908465,0.001442166713435665,0.03650079379104635,0.009593136217013696,0.030093829331054357,0.013487475755759764,0.06897200104829439,0.030464800789864587,0.059510480713088856,0.018100090015061864,0.027666790429960165,0.0852542583804151,0.002733091376636213,0.015466059727612997,0.013441723563506494,0.012129766708958096,0.0030486471523265084,0.030353239806380456,0.002991701839876282,0.00525463298724545,0.033623732294795546,0.008409138176068571
HS_Deep-layer_corticothalamic_6b,0.0034524373996533777,0.0029017855766796186,2.197488745825338e-05,0.009849234789236556,0.038977497480718236,0.017448276391291342,0.01137518391372458,0.008616161275270555,0.0275329032797678,0.007413886181444379,0.007225616796451695,0.006317974546674043,0.005634035083767499,0.024579525466252236,0.02025071327832274,0.018822432952184585,0.038511436312978195,0.029068014829962817,0.005889957993288894,0.025002627122394493,0.00569998183314388,0.01615890241816751,0.016440428835179148
HS_Deep-layer_intratelencephalic,0.0047812226489683095,0.011361116062407384,0,0.02336950555522701,0.07415205886109033,0.022730905151301477,0.03379847263571164,0.015012009233635432,0.011396773240104534,0.013697391813022167,0.01502244196759504,0.0366215482085895,0.012612281677914252,0.03368578482745241,0.03334053584794932,0.02759414098869577,0.03169624030954378,0.015775343472836167,0.012113137854028233,0.022153262206036115,0.015062794063526633,0.015632808224076512,0.023559770947419324
HS_Deep-layer_near-projecting,0.0011095388042088586,0.0026960551034301014,0,0.002894915134238777,0.019361932030696617,0.028412302529882215,0.02134721127784205,0.007805775440979245,0.0516366662614529,0.002121146319140983,0.006249052091903334,0.0057083975465777505,0.008788096629364365,0.03525317348890521,0.050506093691712516,0.031226490534146372,0.026743600286885834,0.17019996428068854,0.005533261396385771,0.07773338580146608,0.00626890453301302,0.01435549253663464,0.013593824332898444
HS_Hippocampal_CA1-3,0.013540580063584098,0.03394932108445013,0.0030637072373912353,0.013139636409492636,0.15036622231275384,0.013262904440993572,0.024843980348439567,0.021266224372021948,0.011674636590905589,0.03460515918779779,0.009775784207517506,0.00045340401629296597,0.015775356950476896,0.09347251229309213,0.009013179447816995,0.0052208667050085995,0.01816123872520791,0.007669659809654439,0.005519323357211991,0.00569161654582258,0.0018610773782114036,0.006919851534910563,0.005555710614877667
HS_Hippocampal_CA4,0.057521443660148885,0.0748962025236234,0.14030109925333725,0.026339565256707692,0.05785038856839605,0.00968032877751284,0.008298882647206606,0.006607148448710784,0.005223710347701178,0.021050159194830158,0.025337494704274138,0.0011978713201191576,0.0050925821375767,0.04786321698552046,0.004877549556372839,0.007352959021993057,0.009877811327856882,0.0037681945609129575,0.0047240801354271975,0.0061356960648970916,0.0022227994894622426,0.0045737798513746,0.004833814639121505
HS_Hippocampal_dentate_gyrus,0.01087402810526114,0.008299445284000288,0.07832004984083049,0.01160282897758495,0.0013268669677768273,0.04325498360985809,0.008903935504055636,0.020386221556590534,0.07638920592297102,0.0060952736353640765,0.012973594280560852,0,0.024588714516295677,0.002150871796202707,0.013294694257325313,0.008818945949323668,0.024894651559013225,0.006694753844031685,0.009554767941426345,0.00906258160570338,0.021245964583025433,0.014672570172093941,0.002060507297134803
HS_Upper-layer_intratelencephalic,0.005912050306746174,0.004344477818325676,0,0.04949079224416388,0.021643748059904103,0.03458958880411407,0.02318952972773202,0.036380934454496125,0.025303228549170016,0.02928154930004185,0.023184089905557502,0.011080473038306542,0.021692930871197967,0.006744907672663928,0.03790753301631264,0.02948476104671721,0.04960008816294195,0.015766860477218755,0.02143669098632796,0.02438622899617919,0.009176250049824386,0.01585815039780209,0.013514286379321571
