,BG_CACNA1H_NRP1_Ex,BG_CACNA1H_SLIT1_Ex,BG_CACNA1H_ZBTB20_Ex,BG_DACH2_BDNF_Ex,BG_DACH2_CCN2_Ex,BG_DACH2_CHD7_Ex,BG_DACH2_GRIK1_Ex,BG_DACH2_LYPD1_Ex,BG_DACH2_MEIS2_Ex,BG_DACH2_NDST4_Ex,BG_DACH2_SV2C_Ex,BG_DACH2_TAC1_Ex,BG_DACH2_ZNF381_Ex,BG_SATB2_BCL6_Ex,BG_SATB2_CCK_Ex,BG_SATB2_FOXP2_Ex,BG_SATB2_GLRA3_Ex,BG_SATB2_KIAA1217_Ex,BG_SATB2_RARB_Ex,BG_SATB2_SCUBE1_Ex,BG_SATB2_TAC1_Ex,BG_SATB2_TFAP2D_Ex,BG_SATB2_ZNF385B_Ex
TU_DMC,0.042671163847899526,0.10248853101777806,0.41679788714369287,0.006710514615777365,0.014162711329110733,0.008298244276889011,0.007304671439509404,0.006688006319389629,0.06768922322788298,0.0029937368903471106,0.001657885159598127,0.0022613200805329378,0.005618693341591364,0.022459767000119996,0.013195176870938272,0.005882482207620128,0.017463991110108663,0.022948410152002045,0.005591834570179431,0.006720568509571369,0.0017242669219946958,0.014569866008076698,0.0025047659689265444
TU_MC,0.03281295233679223,0.044950257825380445,0.04898838936905655,0.016021538315703354,0.046152433370452856,0.023660286828621868,0.025204755473877016,0.02577255991948612,0.1367818517996473,0.01564885852772892,0.009379461086268328,0.0216734711266917,0.02204710474218758,0.05261329370230998,0.06522319178333068,0.026875336927257472,0.05057482822788066,0.06830676531854105,0.02172465485661988,0.0590775238369637,0.006872033104336711,0.035462056915511506,0.006344011474734845
TU_PT,0.0008732992704512344,0.003426520942105351,0.00020545568843343388,0.0037442357183813764,0.12928199310386895,0.01836160358309244,0.01915738957031066,0.002280157518517268,0.006971896012113146,0.001149429480822727,0.008063839993588885,0.0023547724665921245,0.0018402518146923136,0.07772558546801325,0.02879863999433533,0.03280582092547244,0.020417798567748724,0.047714622307363855,0.0052549519058851255,0.15551116709624352,0.008942431844481392,0.011897465431716627,0.03036076111856741
TU_aDC,0.01550598970071133,0.0049056991190108675,0.00019501021519521288,0.014830384505175816,0.11274966819850088,0.011371960085876038,0.05206737608084731,0.008771655153439726,0.001886835102021264,0.025619875861624834,0.025091031719397843,0.013567925883564308,0.0020779747775515876,0.07084961076044442,0.008353526933062407,0.02662507311340583,0.02047074887964939,0.03346470617975051,0.011667611937821887,0.00847829601019907,0.03126135936393355,0.012200893653262917,0.03932840782199859
TU_aDVR,0.06601294966838593,0.0008405591781597745,0.0001985939712350894,0.087655220040318,0.04279395111128384,0.09750032034834437,0.08155313491921672,0.1424543239361041,0.014633187037866688,0.10377484394598743,0.08999812657585374,0.07914162620682573,0.13562276816554136,0.008620869990783599,0.046624907527116434,0.055914428774915856,0.0521073156846719,0.012829144039682324,0.07249056596697415,0.01096294143839619,0.07310397702912408,0.05497677517839343,0.13272622366657663
TU_aLC,0.0207160027949281,0.0015934061391339014,0.0036541982651799774,0.03099015070920021,0.040661456572514305,0.01570209859186794,0.010831053427135745,0.002614842714180544,0.004650641065371363,0.01521996606686181,0.003993993071632955,0.004169931621068897,0.003620400355481124,0.035292188415157896,0.0020476799450670716,0.007487890685114236,0.007589743134793031,0.0066296326966808015,0.007637618559636267,0.003215350345876118,0.004759981208631024,0.0031142418359681985,0.002965356012542936
TU_pDC,0.02149162637085378,0.16359896599152918,0.016310774055120235,0.006829341938027794,0.09339399698069963,0.006746837994710206,0.005825021742348562,0.007511290222444948,0.015645563805390544,0.007701827769612918,0.0027577569613686016,0.006747913639604806,0.003609193930777137,0.06794159640582983,0.01617240963845716,0.0069634186739149185,0.014011919546984785,0.027244358579545054,0.002041725735103003,0.007353343317668277,0.00293652540974957,0.006913384509149132,0.0017113777575228477
TU_pDVR,0.02156114993152561,0.01418508424177368,0.0004552611189135137,0.004017981548370376,0.0168742573872946,0.008344321511443554,0.0029111940999810583,0.03351399971071935,0.028404469236256745,0.02353324753214027,0.0034297718125499256,0.0009845967751084524,0.011526505192197889,0.003620439318819659,0.0038002854739836375,0.0032612825719428315,0.012236668247303881,0.006405449673533317,0.0023501536796228,0.00426637080496715,0.0010871400269648604,0.010097273647175355,0.000555140472610383
TU_pLC,0.019454613575530223,0.0026768909933011023,0.00015164100574683795,0.06570939935106214,0.0190765366665138,0.07362055220401575,0.025068284388721978,0.04510464283351594,0.016982766029126583,0.030315202759010434,0.045106862479398616,0.01677480293387095,0.06753823919114821,0.006055135834728212,0.02947892572810378,0.04175094127226904,0.05789372216080828,0.012892681840326718,0.04609385717029823,0.021126192145985635,0.020374585309412475,0.02934250079927871,0.007086353231894865
