,BG_CACNA1H_NRP1_Ex,BG_CACNA1H_SLIT1_Ex,BG_CACNA1H_ZBTB20_Ex,BG_DACH2_BDNF_Ex,BG_DACH2_CCN2_Ex,BG_DACH2_CHD7_Ex,BG_DACH2_GRIK1_Ex,BG_DACH2_LYPD1_Ex,BG_DACH2_MEIS2_Ex,BG_DACH2_NDST4_Ex,BG_DACH2_SV2C_Ex,BG_DACH2_TAC1_Ex,BG_DACH2_ZNF381_Ex,BG_SATB2_BCL6_Ex,BG_SATB2_CCK_Ex,BG_SATB2_FOXP2_Ex,BG_SATB2_GLRA3_Ex,BG_SATB2_KIAA1217_Ex,BG_SATB2_RARB_Ex,BG_SATB2_SCUBE1_Ex,BG_SATB2_TAC1_Ex,BG_SATB2_TFAP2D_Ex,BG_SATB2_ZNF385B_Ex
TU_e01,0.00041497203053217634,0.00023176938508634454,0,0.0012986756361200987,0.11054055204990502,0.024264873667562574,0.05062935557593697,0.00012973186518864873,0.00025132034543560403,0.01570570870188299,0.013221073263002125,0.0031980933834965383,0.0008403858420889358,0.034259405061328754,0.014354885788342445,0.006618224846590271,0.01564550508572019,0.004780438442852043,0.002888619823255503,0.001011494510081386,0.01834753929875961,0.0018234077151620895,0.08957669188044473
TU_e02,0.004072502535380035,0.0008559136831042433,5.676884905501474e-05,0.03201599318504518,0.016627694744392282,0.04629100049806355,0.04065961323285844,0.020424065459992684,0.0013157754283276138,0.023459001245097956,0.026077837365818524,0.0482881432195822,0.009556115667530004,0.006486837866020038,0.01619645414437895,0.023106337798265132,0.023238493343879535,0.005145050832250174,0.02522499477345031,0.001647142003566483,0.036458106834785495,0.01494684339520938,0.05110165839101568
TU_e03,0.0004905295007800903,0.0006209176989519969,0,0.001225550932984461,0.09834293905718637,0.03557385800038927,0.00724973029662353,0.0023496785660063395,0.007743407918598007,0.0009781721640475592,0.008873686684324165,0.0005760108391752391,0.0013301857172443236,0.046083975526363084,0.013151471786719455,0.02190188470973205,0.031919609459474724,0.017721746287473313,0.0033735057129137525,0.049309237828375686,0.0030544784340113718,0.006438041647598129,0.013088255053254677
TU_e04,0.0004331567567769975,0.000844582400162679,0,0.004039443288492513,0.19831430436475997,0.007084440527041401,0.003638803205644718,0.00035310561059172533,0.0036136192487432653,2.9109674223405257e-05,0.004370916980844088,0.001528571941022265,0.001063156427359668,0.12339174849406993,0.004379815585486687,0.009913016231466745,0.009491973667553435,0.007150299525259966,0.0012256789352932268,0.06799491517450613,0.0010761735710586163,0.002071795649931156,0.004279608992225247
TU_e05,0.00026858477411243853,0.0011620019390173224,0.0004761869182835679,0.0010658464778810401,0.09670015477312704,0.014686308782774276,0.009007800702400344,0.0009098052125283484,0.01010310365233334,0.00021788938440830881,0.0031495677062625153,0.0001780789359708054,0.002682783830100334,0.06585759308414782,0.014026654964612825,0.00796807282530378,0.02057811032248241,0.019922671770958172,0.0028127853280523014,0.07283208985413943,0.002394593366039358,0.0033800272238246345,0.007416989661619032
TU_e06,0.00026116453705980096,0.0007990189039733529,0.00020696727555067246,0.0006548978544970921,0.17314870405437494,0.01018311990956643,0.009757422810374224,0.0005659876220853058,0.0025811225924936756,0.0007382954945601905,0.004880348731581541,7.211075042381533e-05,0.0017863819413336847,0.10440504257952088,0.005765601359108188,0.012643730102267395,0.01317495563396312,0.006586843389010206,0.004504997487578967,0.03091097778675305,0.0024171864733720442,0.002847030828434754,0.00930111114078323
TU_e07,0.0009806938386326969,0.009566820109750334,0.00034754247246195704,0.0007052631846358469,0.13959299800190636,0.000511027315588791,0.00442984388074801,0.0033230865316074645,0.0005189946506651621,0.009667346823740711,0.0027809701310103963,0.002454998640398161,0.0001751079727698901,0.04126530800069305,0.0012772829843627682,0.002656960562093628,0.004167937807720217,0.017417949231630203,0.00036794891389193196,0.0005612105093403587,0.0008213430257050092,0.0007509883830675506,0.0006270277906591455
TU_e08,0.0003103447016108064,0.0003672985547574527,0,0.00017993436920711714,0.229652219554579,0,0.011771523075191324,0.0004152262543228154,0,0.00019041546443921377,0.00029980225119810274,0.004068261420274161,0.00019064074244596113,0.07417191434735326,0,0.0010521420496903248,0.00037967036240809515,0.02314309778571471,0,0.0002906442410320094,0.0011137537239586824,0.0004052197091874157,0.000502756610701046
TU_e09,0.0057704636401726675,0.0010912843726020463,0.0012209604407187786,0.010246702886993923,0.056484074366266554,0.011264951464136325,0.006130531719760946,0.00022610230809784826,0.0028057024921830384,0.008623449634235536,0.003995449031750196,0.0027934619117046203,0.005260440946389526,0.03207508251126912,0.0010326036700533188,0.01172670930581948,0.011602123853422398,0.011559467755265892,0.005127117031674958,0.0008563150534059112,0.0032860151968807745,0.0011427959061520501,0.0007840417863773164
TU_e10,0.004169590597783217,0.00029617952262498326,6.726543826336649e-05,0.015032250506765302,0.05720294316000081,0.01329274012444028,0.012047877477089058,0.0027334749892485763,0.00462332614462315,0.020371438444353882,0.003508896433551412,0.004187772839170155,0.0036042480722829734,0.029075896805993363,0.0017775832875529507,0.008238245169410977,0.00520216299413109,0.0023786378770829734,0.007371684447179993,0.003782477128106586,0.002204738205042662,0.0018612940604898023,0.0027040056260687366
TU_e11,0.014376432371484582,0.00052311049064683,0.0023796808313963093,0.028742491006912774,0.04190671179312954,0.020950759959148673,0.01562679671781383,0.002184836200470096,0.003463183289507881,0.01918287913575126,0.005208006656393404,0.0015769418611059807,0.0030175453712127927,0.04411208536556363,0.0016488137646369252,0.00573296709290411,0.007437238162598679,0.007424302502815265,0.00930433254077159,0.003574405022526237,0.002813338385395414,0.0031846663434775295,0.0018775851491356602
TU_e12,0.03181185094491516,0.004031086399365686,0.007557604997410606,0.027551308242142563,0.023437601418077096,0.012004878492390196,0.005335418689953827,0.0037571468203255486,0.006686542812818952,0.008661465819164464,0.0027965638910672826,0.00020662494455634252,0.0039193399188550805,0.029327972972442017,0.0030202213255693692,0.00797406705754806,0.008242720081139682,0.0070866315772781015,0.006442107075201421,0.0030567676452025534,0.0012672462640245616,0.004432944129772057,0.0004834490823657295
TU_e13,0.006077055786477129,0.0009827247102725258,3.562834941773454e-05,0.004557481770246065,0.08517300356459521,0.010359405607137495,0.021220294341108756,0.0008796830432513718,0.001450803265373402,0.008571627153084512,0.006687285423923485,0.00333850954638039,0.000747140568161895,0.024200823490931802,0.0031387238986387476,0.01118869292326313,0.012717232110837523,0.02013080450106378,0.005216195523759965,0.0048144731921956835,0.0048189583137773755,0.0024680730481293645,0.0065661359518403755
TU_e14,0.0009011472186211485,0.0008012171782225599,0,0.005086581676345434,0.0991764235016078,0.009440363586256512,0.04310582599799504,0.00036876325866599957,0.0008073060875826759,0.0025679550677100843,0.007565069642268056,0.007201220399323442,0.0005742461807563083,0.03466398808618806,0.005479369356704217,0.022715708644008327,0.012095790727020545,0.023932082489952797,0.0044336998142029274,0.006587644766008491,0.021720232337653834,0.0024186427917156877,0.02786989063167229
TU_e15,0.003299563993825063,0.0004767792470402879,0,0.005461111884109764,0.05067225457929635,0.023650140780657115,0.011998957297350647,0.003246324911083763,0.005317131399140208,0.013598105638979762,0.01240225271835405,0.0005806352045846693,0.004009845062428459,0.01217698664063516,0.011180227224359445,0.014026754751850046,0.027066125260927675,0.012673886753339258,0.006887845506590629,0.0017153196891046382,0.004644314218708473,0.005768153431452339,0.012064298049139232
TU_e16,0.0072509006980427506,0.0016952039484750975,0.00019501021519521288,0.0052543472603929576,0.11976057377661534,0.011679855148466502,0.0033389955667178393,0.008641715510845503,0.001831784977910966,0.03933591343862965,0.011708778958856195,0.000791587154635782,0.0032980937447917628,0.03868718525971184,0.0014923295782182386,0.00378439956125536,0.00875838103099275,0.004642550438111572,0.002767406184802981,0.000194214743610121,0.0010343424586430998,0.0024491077015548943,0.0008502737512420539
TU_e17,0.019454613575530223,0.0026768909933011023,0.00015164100574683795,0.06570939935106214,0.019076536666513797,0.07362055220401575,0.025068284388721978,0.04510464283351594,0.016982766029126583,0.030315202759010434,0.045106862479398616,0.01677480293387095,0.0675382391911482,0.006055135834728212,0.02947892572810378,0.04175094127226904,0.05789372216080828,0.012892681840326718,0.04609385717029823,0.021126192145985635,0.020374585309412475,0.02934250079927871,0.007086353231894865
TU_e18,0.03602062993134746,0.0008456089243365714,0,0.014228519761888627,0.003301534042029037,0.034795395061344256,0.0037615769162895043,0.04673873168700709,0.011520357123537332,0.026723491088827805,0.013401089185428833,0.008776905679070884,0.05448771541297583,0.0007514954873632835,0.012169009530660607,0.010797120060936045,0.02123228699756922,0.003127785517406912,0.012454947274466065,0.004993892377090503,0.003992438445063496,0.016756399370071683,0.0006582449309836453
TU_e19,0.025504845171126268,0.0003127764422615054,0.00014182512218007464,0.04048873428277559,0.003219144113327528,0.045960109710308505,0.008667092817152394,0.079822683737503,0.003508831844604174,0.05839711423073866,0.04448505008877671,0.018878483924676105,0.07125906448022792,0.0008384674750385636,0.01359041947377095,0.02093858168691138,0.02130883579327248,0.003282724535707101,0.032683917078995775,0.004755325130018033,0.01430589245051551,0.02177106487389253,0.0025247572089174973
TU_e20,0.020299311482178783,0.005240177386211424,0,0.006706711444759805,0.00586118722695581,0.01542580612085174,0.0021793508867819665,0.040134145856470446,0.0217390315702553,0.014113415342216686,0.0036072371734431263,0.00017742909307287812,0.02016888524374829,0.0005124384622461227,0.005585405881901758,0.0058405023743180505,0.021768025450665446,0.005838574668822203,0.002536189528518116,0.00807408349879736,0.00034432323116632496,0.009844851209901287,0.0001915629981916875
