,BG_CACNA1H_CCN2_Ex,BG_DACH2_CCN2_Ex,BG_DACH2_GRIA4_Ex,BG_DACH2_GRIK1_Ex,BG_DACH2_MEIS2_Ex,BG_SATB2_KIAA1217_Ex,BG_SATB2_RARB_Ex,BG_SATB2_SATB1_Ex,BG_SATB2_SCUBE1_Ex,BG_SATB2_SOX6_Ex
TU_DMC,0.1873191940031234,0.014162711329110733,0.013694069619974778,0.00478299576002117,0.06768922322788298,0.022704088576061016,0.018476660420019976,0.00211451644546062,0.006720568509571369,0.011298814008755277
TU_MC,0.08382081574686687,0.04615243337045287,0.028536363959327404,0.02343911330028437,0.1367818517996473,0.06046002951042552,0.03614974154225028,0.00660802228953578,0.0590775238369637,0.04252019520869992
TU_PT,0.0014739109924724492,0.12928199310386895,0.02840551264165104,0.010756081018451383,0.006971896012113147,0.09187712224828434,0.023340623079017075,0.01965159648152441,0.15551116709624352,0.02598985606917322
TU_aDC,0.0068688996783058094,0.11274966819850088,0.03979979050316092,0.0328176509822058,0.001886835102021264,0.05215715847009753,0.017349988605835216,0.03529488359296608,0.00847829601019907,0.01929244686244517
TU_aDVR,0.022350700939260264,0.04279395111128384,0.14146724550245832,0.08034738056302114,0.014633187037866688,0.01072500701523296,0.06229894082582306,0.1029151003478502,0.01096294143839619,0.052505370493475256
TU_aLC,0.021381989478757205,0.04066145657251431,0.0650065097392707,0.01212877914320738,0.004650641065371363,0.04192182111183869,0.0152273616944293,0.003862668610586979,0.003215350345876118,0.01264981246614951
TU_pDC,0.0708175803198433,0.09339399698069963,0.01938258525387031,0.0062864676909766826,0.015645563805390544,0.05056422788170213,0.015397103601866718,0.002323951583636209,0.007353343317668277,0.015657305404206505
TU_pDVR,0.02844858355206334,0.016874257387294596,0.08323871983525315,0.002457130004865987,0.028404469236256735,0.009965336051598654,0.014325908989856362,0.0008211402497876219,0.0042663708049671505,0.013909672842178885
TU_pLC,0.009897934335284476,0.019076536666513797,0.11867585365497217,0.020921543661296466,0.016982766029126583,0.00947390883752746,0.05199378966555322,0.013730469270653665,0.021126192145985635,0.03352412259988385
