,BG_CGE_ADARB2_Inh,BG_CGE_LAMP5_Inh,BG_LGE_FOXP2_Inh,BG_LGE_PCP4_Inh,BG_MGE_PVALB_Inh,BG_MGE_SST_Inh,BG_MGE_ST18_Inh,BG_RELN_LHX8_Inh
HS_CGE_interneuron,0.20560224569369323,0.04033844839950636,0.0727309140751671,0.013095482333892416,0.023953345293541616,0.02484109088979439,0.023809698708981804,0.039864925363407785
HS_Eccentric_medium_spiny_neuron,0.008888512701729124,6.978866321991454e-05,0.12118589188751246,0.26693113457806117,0.0006015100609185722,0.00033330686988570525,0.00013800094682859488,0.008639250048288232
HS_LAMP5_LHX6_and_Chandelier,0.08297170267928976,0.448856426082674,0.031173241224548277,0.012851423299991626,0.09293897252150832,0.030321718215999872,0.015796215388727948,0.02735809313954502
HS_MGE_interneuron,0.026165507423345984,0.0058858017178670076,0.0809817733799046,0.019359180582649578,0.22086826562669346,0.1372951345131904,0.021913135689285882,0.03834784631503265
HS_Medium_spiny_neuron,0.0013652731604247214,0,0.00796745320684347,0.47417004888334713,0.00018342659154122132,0.0003643496465564708,0,0.001566145322157769
