,BG_CGE_ADARB2_Inh,BG_CGE_LAMP5_Inh,BG_LGE_FOXP2_Inh,BG_LGE_PCP4_Inh,BG_MGE_PVALB_Inh,BG_MGE_SST_Inh,BG_MGE_ST18_Inh,BG_RELN_LHX8_Inh
MM_Lamp5,0.020071252530986794,0.376708412840291,0.0328609076951329,0.019526167201537124,0.03976814226415248,0.014260711997089748,0.010735349769744124,0.0108379884508971
MM_Meis2,1.6847664900594997e-05,0,0.0661183088941163,0.16801235561910546,0.017924950214630125,0.0008192187385048209,0,0.005463863483284326
MM_Pvalb,0.04325826094914925,0.0028860010977824276,0.0121248804577064,0.014761077138192292,0.20223299998382277,0.014891446845750158,0.011463765123292063,0.013356045968411102
MM_Sncg,0.020533903854227875,0.03077239740191675,0.022738119348740343,0.13726378446115808,0.008615715536852125,0.008315380471632595,0.009574205439125332,0.022730980110409832
MM_Sst,0.11949848859476071,0.0008070681673444663,0.032634875090358235,0.1293026371427234,0.02590010503178411,0.03283679472323846,0.006654488727265373,0.03812321588526442
MM_Sst Chodl,0.08235081551671763,0,0.012260792131065554,0.03136526985669258,0.0059100455345930236,0.2590381347336286,0.0008673830966267869,0.005340869414533036
MM_Vip,0.0369263909246786,0.005471049363191417,0.13106407982333979,0.09115028092625416,0.04098886365769328,0.00910241046480624,0.00913625012888784,0.027156360854699135
