"","CACNA1H_NRP1_Ex","CACNA1H_SLIT1_Ex","CACNA1H_ZBTB20_Ex","CGE_ADARB2_NPY_Inh","CGE_ADARB2_NR2F2_Inh","CGE_ADARB2_VIPR1_Inh","CGE_RELN_LAMP5_Inh","DACH2_BDNF_Ex","DACH2_CCN2_Ex","DACH2_CHD7_Ex","DACH2_GRIK1_Ex","DACH2_LYPD1_Ex","DACH2_MEIS2_Ex","DACH2_NDST4_Ex","DACH2_SV2C_Ex","DACH2_TAC1_Ex","DACH2_ZNF381_Ex","LGE_FOXP2_SLIT2_Inh","LGE_PCP4_DRD1_Inh","LGE_PCP4_DRD2_Inh","LGE_PCP4_EBF1_Inh","LGE_PCP4_IL17REL_Inh","LGE_PCP4_SLC1A3_Inh","MGE_SST_NPY_Inh","MGE_SST_PVALB_Inh","MGE_SST_SATB1_Inh_","MGE_SST_SCUBE1_Inh","MGE_SST_ST18_Inh","RELN_LHX8_Inh","SATB2_BCL6_Ex","SATB2_CCK_Ex","SATB2_FOXP2_Ex","SATB2_GLRA3_Ex","SATB2_KIAA1217_Ex","SATB2_RARB_Ex","SATB2_SCUBE1_Ex","SATB2_TAC1_Ex","SATB2_TFAP2D_Ex","SATB2_ZNF385B_Ex","SNCG_NRP1_Inh"
"33930241646200",5.13618782068604e-05,5.13618782068699e-05,5.13618782069535e-05,5.13618782068776e-05,0.018562387445019,5.13618782068776e-05,0.022077057496964,0.153694189886589,5.13618782068876e-05,5.13618782068829e-05,0.00867197996627221,5.13618782069279e-05,0.381253300731999,0.171553061876598,5.13618782068741e-05,5.13618782068924e-05,5.13618782068437e-05,5.13618782068988e-05,5.13618782193435e-05,5.13618782068876e-05,5.13618782068845e-05,0.0442413308382571,5.13618782068271e-05,5.13618782068869e-05,5.1361878206888e-05,0.0564147116255838,5.13618782068881e-05,0.0527937987293341,5.13618782068834e-05,5.1361878206888e-05,5.13618782068534e-05,0.0196469483239747,5.13618782068874e-05,5.13618782068787e-05,5.13618782068645e-05,5.13618782068863e-05,5.13618782068924e-05,5.13618782068639e-05,0.0120992062445745,0.0575538942450299
"24910810323300",3.89694234345841e-05,0.0631931863256476,3.89694234346234e-05,3.89694234346267e-05,3.89694234346277e-05,3.8969423434633e-05,0.0215970677926933,0.197245080267792,3.89694234346489e-05,3.89694234346284e-05,3.89694234346067e-05,3.89694234346226e-05,0.196925839184303,0.0670122656302238,3.89694234346279e-05,3.89694236347441e-05,3.89694234346052e-05,3.89694234346283e-05,0.0197670905659118,3.89694234345872e-05,3.89694234346566e-05,0.0530883205669631,0.0469668744615776,3.89694234346251e-05,3.89694234346089e-05,0.0525644885521176,3.89694234346254e-05,0.0125874859886363,3.89694234346511e-05,3.89694234346247e-05,3.896942343467e-05,3.89694234346281e-05,3.8969423434671e-05,3.89694234346613e-05,3.89694234346138e-05,3.89694234346359e-05,3.8969423435881e-05,3.89694234346425e-05,3.89694234346346e-05,0.267922187384328
"30923764542000",3.94662356179961e-05,3.94662356180066e-05,3.94662356180123e-05,0.0106994087218975,0.0107506809222272,3.94662356179836e-05,3.94662355861455e-05,0.104825071050885,0.0513707811686013,3.94662356180231e-05,0.0231834473661286,3.94662356180426e-05,0.376564973749498,3.94662356179899e-05,3.9466235617971e-05,3.94662368897645e-05,3.94662356179978e-05,3.94662356180023e-05,3.94662356243251e-05,3.94662356180365e-05,3.94662356180479e-05,3.94662356180007e-05,0.0689979461110983,0.00364400612526074,3.94662356180063e-05,0.00551655148343818,0.0379184980009096,3.94662356180049e-05,3.94662356180065e-05,0.036858570590107,3.94662356180052e-05,3.94662356180456e-05,3.94662356180062e-05,3.94662356180126e-05,3.94662356179931e-05,3.9466235618081e-05,3.94662356183877e-05,3.94662356180078e-05,0.134340831631934,0.134263644715081
"44667659883400",3.51416782163715e-05,3.51416782163173e-05,0.0547211664754271,0.00100751757314753,3.51416782163389e-05,0.0971359597508755,0.0155240730804912,0.164108770508085,3.51416782166526e-05,3.51416782163628e-05,3.5141678216348e-05,3.514167821634e-05,0.340616603929886,3.51416782163424e-05,3.51416782163247e-05,3.51416787395567e-05,3.51416782163333e-05,0.0272957556354975,3.51416782163308e-05,3.51416782163376e-05,3.51416782163369e-05,3.51416782163238e-05,0.104920757003681,3.51416782163151e-05,3.51416782163047e-05,3.51416782163373e-05,3.51416775088131e-05,3.51416782163178e-05,3.51416782162779e-05,3.5141678216335e-05,3.51416782163371e-05,3.51416782163149e-05,3.51416782162863e-05,3.51416782163136e-05,0.0123296359568741,3.51416782163333e-05,3.51416782163451e-05,3.51416782163657e-05,3.51416782163559e-05,0.18128550973973
"24051816866900",3.89690049644275e-05,3.896900496432e-05,3.89690049644044e-05,0.00498963042525897,3.89690049644024e-05,3.89690049644038e-05,3.89690048480859e-05,0.251095464470893,3.89690049643956e-05,3.89690049644211e-05,3.89690049644116e-05,3.89690049643385e-05,0.36365449353526,3.89690049645038e-05,3.89690049643663e-05,0.0171468450639453,3.89690049644004e-05,0.0938392797788794,3.89690049644034e-05,3.89690049644065e-05,3.89690049643798e-05,3.89690049643957e-05,0.00157885821623175,3.8969004964404e-05,3.89690049643995e-05,0.00970446013489887,0.00726082095462126,0.0358968778097383,3.89690049644547e-05,3.89690049642893e-05,3.89690049643682e-05,3.89690049642968e-05,3.89690049644022e-05,3.89690049644933e-05,3.8969004964418e-05,3.89690049643855e-05,0.00937968999072248,3.89690049645012e-05,3.89690049644243e-05,0.204323478475699
"24051816865900",5.61407883661765e-05,5.61407883661842e-05,5.61407883661914e-05,5.61407883661818e-05,0.0221233669213665,5.61407883661852e-05,0.00777466603886393,0.0949661691677484,5.61407883661856e-05,5.6140788366183e-05,5.61407883662085e-05,5.61407883661919e-05,0.382443714013643,0.0708162196414217,5.61407883661727e-05,5.61407883661857e-05,5.61407883662621e-05,5.61407883661837e-05,0.00181480651513095,5.61407883661736e-05,5.61407883661684e-05,5.6140788366184e-05,0.0582108562776057,5.61407883661868e-05,5.61407883661851e-05,5.6140788366186e-05,5.6140788366185e-05,0.0177891752602864,0.0408792824656157,5.61407883661971e-05,5.61407883662118e-05,5.61407883661295e-05,5.61407883661891e-05,5.61407883661849e-05,5.61407883662039e-05,0.00929485801627317,5.6140788366494e-05,5.6140788366165e-05,0.0306269968742929,0.261687946733499
"37795712209900",3.38195811944578e-05,0.0903542442944961,3.38195811944586e-05,0.0117123789845894,3.38195811944499e-05,3.38195811944534e-05,0.00619055654589325,0.129934390438503,3.38195811944867e-05,3.38195811944622e-05,3.38195811944774e-05,3.38195811944716e-05,0.373365123600665,3.38195811944667e-05,3.38195811944633e-05,3.38195811944588e-05,0.0924286732048013,0.00905961516226172,3.38195812865449e-05,3.38195811944692e-05,3.38195811944597e-05,0.0445412331970307,3.38195811944955e-05,3.38195811944618e-05,0.0240820935553463,3.38195811944326e-05,3.38195811944601e-05,3.38195811944574e-05,3.38195811944309e-05,3.38195811943617e-05,3.38195811943672e-05,3.38195811944853e-05,0.00413567356315642,3.38195811944597e-05,3.3819581194489e-05,3.38195811944301e-05,3.38195811952579e-05,3.38195811944415e-05,3.38195811944725e-05,0.213215249598525
"33071248184500",3.24271001826969e-05,3.24271001826761e-05,3.24271001826728e-05,3.24271001826689e-05,3.24271001826539e-05,3.24271001826621e-05,0.00880978322016958,0.0565945770685755,0.118683935063342,3.24271001826729e-05,3.24271001828202e-05,3.24271001826676e-05,0.484751042737968,3.24271001827251e-05,3.24271001826648e-05,0.00691379564241073,3.24271001826822e-05,3.24271001826756e-05,3.24271001826827e-05,3.24271001826688e-05,3.24271001826763e-05,0.0517302730762019,3.24271001826697e-05,0.00342449067057218,3.24271001826727e-05,3.24271001826773e-05,0.00677627493937193,0.0104054797937085,0.0342159469495088,0.147857361257794,0.0050173129161743,3.24271001825712e-05,3.24271001826711e-05,0.00928028985902092,3.24271001826653e-05,3.24271001827243e-05,3.2427100182619e-05,3.24271001827317e-05,3.24271001826193e-05,0.0546963322004317
"49392123911700",3.61767718523977e-05,0.0111492785188453,3.61767718523987e-05,3.61767718524015e-05,3.61767718524353e-05,3.6176771852457e-05,3.61767710885388e-05,3.61767718523978e-05,3.61767718523474e-05,3.61767718523982e-05,3.61767718523842e-05,3.61767718523589e-05,0.532492572951965,3.61767718524437e-05,3.6176771852406e-05,3.61767718524013e-05,3.61767718524069e-05,0.0432243639942129,3.61767718524923e-05,3.61767718523845e-05,0.0521983174435003,3.61767718524001e-05,0.069353392794136,3.61767718523741e-05,0.0573373776622124,0.0451408131674341,0.0466018296092582,3.61767718524033e-05,0.0136967383995918,3.61767718523859e-05,3.61767718523899e-05,3.61767718524009e-05,3.61767718523904e-05,3.61767718524026e-05,3.61767718524001e-05,3.61767718524634e-05,3.61767723222443e-05,3.61767718524012e-05,3.61767718524035e-05,0.127720012303567
"33500744915800",3.32544155775607e-05,3.32544155775612e-05,3.32544155775613e-05,0.00612562565512434,3.3254415577566e-05,0.0138524629366525,3.3254416623572e-05,0.231752737235526,3.32544155775601e-05,3.32544155775687e-05,3.32544155775633e-05,0.0327341348448022,0.276580620278952,3.32544155775642e-05,3.3254415577577e-05,3.32544155845918e-05,3.32544155774972e-05,3.32544155775633e-05,3.32544157339297e-05,3.32544155775668e-05,3.32544155775611e-05,0.0483945809221045,0.0483540343395843,3.32544155775509e-05,3.32544155775623e-05,0.0332328786464694,3.32544155775552e-05,3.32544155775176e-05,3.32544155775705e-05,3.32544155775469e-05,0.109386318279077,3.32544155775982e-05,3.32544155775058e-05,3.32544155776264e-05,3.3254415577563e-05,3.32544155775604e-05,3.32544155782326e-05,3.32544155775512e-05,3.32544155775715e-05,0.198588974393172
