"","ADARB2_GRIK1_Inh","CABP7_CACNA1G_Ex","CABP7_MEIS2_Ex","CADPS2_GATA3_Inh","CCK_ZFHX4_Ex","EMX2_PENK_Inh","FOXP2_TCF7L2_Ex","GATA3_DACH1_Inh","GATA3_LYPD1_Inh","GRIA4_ETV1_Ex","IRX1_IRX2_Inh","KIAA1217_CACNA1G_Ex","KIAA1217_GRIK1_Ex","LYPD1_SCN4B_Ex","MEIS1_ST18_Inh","MEIS2_CALB2_Inh","MEIS2_NDNF_Inh","MEIS2_PAX7_Inh","MEIS2_RELN_Inh","NTNG2_CACNA1G_Ex","NTS_ZFHX4_Ex","NXPH1_POSTN_Ex","PCP4_CADPS2_Inh","PENK_SCN4B_Ex","PVALB_EBF1_Inh","PVALB_LYPD1_Inh","RELN_FOXP2_Inh","RSPO3_SPON1_Ex","SLIT2_ETV1_Ex","SLIT2_FXYD6_Ex","SLIT2_ZFHX4_Ex","SPON1_MEIS2_Ex","SPON1_TAC1_Ex","SST_CACNA1G_Ex","VIP_SOX6_Ex","ZFHX4_CHL1_Inh","ZFHX4_GATA3_Inh","ZFHX4_PAX7_Inh","ZIC1_ZIC2_Ex"
"29205777630500",4.86299470044983e-05,4.86299470044347e-05,0.0114748893497316,0.0787542544276143,4.86299470045522e-05,0.344978961976877,4.86299467136122e-05,4.86299470046498e-05,4.86299470045807e-05,0.0265278393551188,0.0289465646529577,4.86299469866979e-05,4.86299470045763e-05,4.86299478734603e-05,4.86299470040367e-05,4.86299470045667e-05,0.034889877665718,4.86299470045794e-05,4.86299470046098e-05,4.86299470045787e-05,4.86299470045767e-05,4.86299470041132e-05,0.0209826846996275,0.312248291213366,0.0583589500590272,4.86299470045786e-05,4.86299470060848e-05,0.00296079352322556,4.86299470053495e-05,4.86299470045987e-05,4.86299470046408e-05,4.86299470044379e-05,4.86299470045776e-05,4.86299470045781e-05,0.07851525456005,4.86299470045543e-05,4.86299470045781e-05,4.86299470045764e-05,4.86299470018692e-05
"21904333225400",6.96715627031446e-05,6.96715627031601e-05,0.0419660916036605,6.96715627031578e-05,6.96715627031137e-05,0.350975350166595,6.96715628972547e-05,0.127868421274787,6.96715627031684e-05,6.96715627031195e-05,6.96715627031082e-05,6.96715627032059e-05,6.96715627039015e-05,6.96715620235896e-05,6.96715625948097e-05,0.258333364683034,6.96715627032927e-05,6.96715627031302e-05,0.0255575064452844,0.060156445076495,6.9671562703155e-05,0.0910561364472775,0.0160600171035991,6.96715627031685e-05,6.96715627031614e-05,6.96715627068744e-05,6.9671562732624e-05,6.96715627060523e-05,6.96715627046086e-05,6.96715627031771e-05,6.9671562230053e-05,6.96715627031604e-05,6.96715645477563e-05,0.025936520317353,6.96715627031627e-05,6.96715627028592e-05,6.96715627031596e-05,6.96715627032972e-05,6.96715627077104e-05
"23192823412600",4.75873265972483e-05,4.75873265972928e-05,4.75873270761073e-05,0.0785559313946491,4.7587326597026e-05,0.352941995529545,0.0745434699557803,4.75873265993901e-05,0.122137930299836,4.75873265971947e-05,4.75873265976279e-05,4.75873265972573e-05,4.75873265971976e-05,4.75873262203067e-05,0.0557170510268672,4.75873265972995e-05,4.75873265972935e-05,4.75873265972782e-05,4.75873265975525e-05,0.108544442481996,0.0490744894667218,0.117205075748643,4.75873262777932e-05,4.75873265972794e-05,4.75873265973147e-05,4.75873265971984e-05,0.0398519942997876,4.75873265669642e-05,4.75873265972466e-05,4.75873265975688e-05,4.75873265716204e-05,4.75873265971074e-05,4.75873276358796e-05,4.75873265393455e-05,4.75873265973229e-05,4.75873265383816e-05,4.75873265973306e-05,4.75873265972995e-05,4.75873242024834e-05
"25769803788200",0.0676718512912744,3.84840411217168e-05,3.84840411199575e-05,3.84840411199179e-05,3.84840411199619e-05,0.673760072532888,0.0906546075182657,3.84840411199587e-05,0.00866072476096266,3.84840411196525e-05,3.84840411199517e-05,3.84840411199554e-05,3.84840411199503e-05,3.84840403888484e-05,3.84840411199542e-05,3.84840411210471e-05,3.84840411201569e-05,3.8484041087862e-05,3.84840411194431e-05,3.84840411200662e-05,3.84840411199484e-05,3.84840411199556e-05,3.848404100966e-05,3.84840411199448e-05,3.84840411198779e-05,3.84840411199574e-05,3.84840415651628e-05,0.010365966748147,3.84840411380271e-05,0.147616803793627,3.84840411204878e-05,3.84840411200041e-05,3.8484040633756e-05,3.84840411174824e-05,3.84840398907124e-05,3.84840411199553e-05,3.84840411199584e-05,3.84840411199712e-05,3.84840411217374e-05
"20615843038400",4.3245233847911e-05,4.32452338486341e-05,4.32452338481209e-05,4.32452338481202e-05,4.32452338480018e-05,0.416848275793949,0.31723255018877,4.32452341764697e-05,4.32452338496376e-05,4.32452338481207e-05,0.205229179546389,0.0111142067364552,0.0481054497841656,4.324523253831e-05,4.32452338368242e-05,4.32452338461937e-05,4.32452338480411e-05,4.32452338483104e-05,4.3245233848098e-05,4.32452338481098e-05,4.32452338348383e-05,4.32452338481184e-05,4.32452338840039e-05,4.32452338481126e-05,4.32452338481104e-05,4.3245233853047e-05,4.32452332233705e-05,4.32452339785788e-05,4.32452338481653e-05,4.3245233848319e-05,4.32452338482523e-05,4.32452338481237e-05,4.32452342353463e-05,4.32452338481199e-05,4.32452338481238e-05,4.32452338690531e-05,4.3245233644773e-05,4.32452338480995e-05,4.32452345378046e-05
"33500744923100",4.08168239580811e-05,4.08168239580705e-05,4.08168239580762e-05,4.08168239580266e-05,4.08168239581828e-05,0.350083707104194,0.0209266621174568,4.08168239580665e-05,4.08168239580725e-05,0.0412484290613665,4.08168239579698e-05,4.08168239580737e-05,4.08168239580698e-05,4.08168239580683e-05,4.08168239571451e-05,0.0118408961507333,4.08168239580087e-05,4.08168239554613e-05,4.08168239581531e-05,4.08168239580762e-05,4.08168239580463e-05,4.0816823997946e-05,4.08168247502697e-05,0.290918441176763,4.0816823911668e-05,4.08168239580475e-05,4.08168241982061e-05,4.08168239580118e-05,4.08168239581017e-05,0.0109785304734064,4.08168239580955e-05,4.08168239580706e-05,4.08168239580722e-05,4.08168239580639e-05,4.08168239580727e-05,0.272697195548399,4.08168239580488e-05,4.08168239581064e-05,4.08168239580742e-05
"27487790712500",5.56780921587873e-05,6.83095024602145e-05,0.0538711569087815,5.56780921579771e-05,5.56780921587719e-05,0.38194403253013,5.56780921587874e-05,5.56780921587798e-05,5.56780921587849e-05,5.56780921589354e-05,5.56780921587905e-05,5.56780922028955e-05,5.56780921608848e-05,5.56780926357328e-05,5.56780921543198e-05,0.126479103716603,5.56780921670428e-05,5.56780921580855e-05,5.56780921588669e-05,5.56780921588589e-05,5.56780921633904e-05,5.56780929480158e-05,5.56780921587869e-05,0.237752084656598,5.56780921587872e-05,0.0722795660250397,5.56780917741587e-05,5.56780923803745e-05,5.56780921587796e-05,5.56780921587889e-05,5.56780921588173e-05,0.011498725789824,0.0532908380114919,5.56780921587857e-05,5.56780924578161e-05,5.56780921587138e-05,0.0611458400928517,5.56780921588168e-05,5.56780921587873e-05
"38654705678000",5.38991305374349e-05,5.38991305374505e-05,5.38991305374445e-05,5.38991305374344e-05,5.38991305374135e-05,0.40004640298696,5.38991305374754e-05,5.38991305862184e-05,5.38991305360776e-05,5.38991305377714e-05,5.38991305374463e-05,5.38991305378794e-05,5.38991305331685e-05,0.063033521124601,5.3899130537466e-05,0.308640364538978,5.38991305374676e-05,0.0663547406239984,5.38991305374397e-05,0.0035689603222946,5.38991305374972e-05,5.38991300548344e-05,5.38991305374494e-05,0.115964920258673,5.38991305374138e-05,0.0208011661420808,0.0199190509559647,5.3899129845565e-05,5.38991305317034e-05,5.3899130537993e-05,5.38991305375381e-05,5.38991305374153e-05,5.38991315523264e-05,5.38991305374484e-05,5.38991305182703e-05,5.38991305374728e-05,5.38991304662671e-05,5.38991305374568e-05,5.3899130537433e-05
"39943195868200",7.40076763591197e-05,7.40076763591099e-05,7.40076763591047e-05,0.0343689639641012,7.40076763591111e-05,0.0787965150916276,7.40076770059235e-05,7.40076763591245e-05,7.40076763591111e-05,7.40076763591074e-05,0.0817160257843828,0.0256273894954725,7.40076763521595e-05,7.40076739134908e-05,7.40076791423064e-05,0.0554097513015076,7.40076763591163e-05,7.40076763596006e-05,0.0756938065901002,7.4007676359094e-05,7.40076763488559e-05,7.40076763591069e-05,7.40076766941798e-05,0.492171820417127,7.40076763591067e-05,7.4007676359112e-05,0.0821049272440272,7.40076763685048e-05,7.40076763591126e-05,7.40076763591264e-05,7.4007676359116e-05,7.4007676359097e-05,7.40076763695585e-05,7.40076763591104e-05,7.40076763590374e-05,7.40076763591707e-05,7.40076763591001e-05,7.40076763590164e-05,0.0718905698195575
"25769803790600",5.92342296804564e-05,5.92342291904129e-05,0.0305424295569324,5.92342296324975e-05,5.92342296325392e-05,0.323659920908845,5.92342303582114e-05,5.92342296325441e-05,5.92342296326114e-05,5.92342296331725e-05,5.92342295581948e-05,5.92342298700352e-05,5.92342296325963e-05,5.9234228934164e-05,5.9234230175892e-05,0.613030410345863,5.92342296766591e-05,5.92342296320953e-05,0.0306940411538768,5.92342302437391e-05,5.92342295559824e-05,5.92342294146655e-05,5.92342298540225e-05,5.92342296325514e-05,5.92342296326232e-05,5.92342292590762e-05,5.92342296322129e-05,5.92342296981213e-05,5.92342296324814e-05,5.92342296325519e-05,5.92342269312054e-05,5.92342297584945e-05,5.92342290495343e-05,5.92342296325532e-05,5.92342296325271e-05,5.9234229520267e-05,5.92342296325953e-05,5.92342296322985e-05,5.92342296326604e-05
