"","ADARB2_GRIK1_Inh","CABP7_CACNA1G_Ex","CABP7_MEIS2_Ex","CADPS2_GATA3_Inh","CCK_ZFHX4_Ex","EMX2_PENK_Inh","FOXP2_TCF7L2_Ex","GATA3_DACH1_Inh","GATA3_LYPD1_Inh","GRIA4_ETV1_Ex","IRX1_IRX2_Inh","KIAA1217_CACNA1G_Ex","KIAA1217_GRIK1_Ex","LYPD1_SCN4B_Ex","MEIS1_ST18_Inh","MEIS2_CALB2_Inh","MEIS2_NDNF_Inh","MEIS2_PAX7_Inh","MEIS2_RELN_Inh","NTNG2_CACNA1G_Ex","NTS_ZFHX4_Ex","NXPH1_POSTN_Ex","PCP4_CADPS2_Inh","PENK_SCN4B_Ex","PVALB_EBF1_Inh","PVALB_LYPD1_Inh","RELN_FOXP2_Inh","RSPO3_SPON1_Ex","SLIT2_ETV1_Ex","SLIT2_FXYD6_Ex","SLIT2_ZFHX4_Ex","SPON1_MEIS2_Ex","SPON1_TAC1_Ex","SST_CACNA1G_Ex","VIP_SOX6_Ex","ZFHX4_CHL1_Inh","ZFHX4_GATA3_Inh","ZFHX4_PAX7_Inh","ZIC1_ZIC2_Ex"
"67860483284600",3.65627589013733e-05,3.6562758901367e-05,0.00550285142842925,3.65627589013708e-05,3.65627589014203e-05,0.316745222672887,3.65627589014022e-05,0.0469597458896249,3.65627589013659e-05,3.65627589013709e-05,3.65627589013914e-05,3.65627589013306e-05,3.65627589014053e-05,3.65627589013637e-05,3.65627589013378e-05,3.65627589013654e-05,3.65627589013316e-05,3.65627589013844e-05,3.65627589013698e-05,3.65627589013684e-05,0.178308168190801,3.65627587322814e-05,3.65627589079262e-05,0.0492372219008307,3.65627589013791e-05,3.65627589013679e-05,3.65627585526141e-05,0.0570295823387046,3.65627589013818e-05,3.65627589020562e-05,0.159311570178743,0.0347148634675864,3.65627589013554e-05,3.65627589013654e-05,3.6562758369065e-05,0.128572401203112,0.0137398925926705,3.65627589013293e-05,0.00885472288841576
"82892868820100",2.67481901227553e-05,2.67481901227104e-05,0.496859816440116,0.00470499844602109,2.6748190122735e-05,0.339265367778091,2.67481901229095e-05,2.67481901227667e-05,2.67481901227524e-05,2.67481901228689e-05,2.67481901227393e-05,2.67481916810084e-05,2.67481901227549e-05,0.0649362848841419,2.67481885349354e-05,2.6748190122796e-05,2.67481901227619e-05,2.6748190122764e-05,2.67481901227887e-05,0.0080427203887714,0.0278383690862652,2.67481901223852e-05,2.67481901227533e-05,0.0573963451976451,2.67481901227531e-05,2.6748190122825e-05,2.67481901227533e-05,2.67481901227357e-05,2.67481901227275e-05,2.67481901227419e-05,2.67481901222304e-05,2.67481901227502e-05,2.67481894706387e-05,2.67481900933237e-05,2.67481901227521e-05,2.6748190122635e-05,2.67481899586521e-05,2.67481901227643e-05,0.00012690388601946
"66142496364800",5.64607733463154e-05,5.64607733463091e-05,5.64607733463119e-05,5.6460773346323e-05,0.0061192711375521,0.334582296496185,5.64607733401673e-05,0.0128376210568937,5.64607733473859e-05,5.64607733463167e-05,0.0453952209038515,5.64607733463335e-05,5.64607733463127e-05,5.64607733463741e-05,5.64607733463274e-05,0.0732024188350276,5.64607733463128e-05,5.64607733463021e-05,5.64607733463328e-05,5.6460773346272e-05,5.64607733463144e-05,5.6460773346307e-05,5.64607734301463e-05,0.305322481268345,5.64607733463155e-05,0.031542148901157,5.64607733351206e-05,5.64607733462881e-05,0.0258417064402058,5.64607733463576e-05,5.64607733465998e-05,0.0341260778720009,0.0121791456011592,0.0505694126063641,0.0383991834297445,5.64607733463017e-05,0.0284150353444423,5.64607733462964e-05,5.6460773345734e-05
"79027398252800",4.46753006035487e-05,4.46753006035203e-05,0.432024819391241,4.46753006034127e-05,4.46753006040793e-05,0.30406329080636,4.4675300603415e-05,4.4675300603129e-05,4.46753006032146e-05,4.46753006034332e-05,4.46753006034449e-05,4.46753006045233e-05,4.46753003524525e-05,4.46752992222446e-05,4.46753007258469e-05,4.46753006034125e-05,4.46753006029845e-05,4.46753006034138e-05,4.46753006034207e-05,4.46753006033929e-05,4.46753006031925e-05,4.46753010722081e-05,4.46753004776215e-05,0.176312613788179,4.46753006034122e-05,4.46753006035318e-05,0.0595809435461837,4.46753006034124e-05,4.46753006033994e-05,4.46753006034158e-05,4.4675301386855e-05,4.46753006034333e-05,4.46753006041372e-05,0.000791717788578458,0.0257523297599265,4.46753006034236e-05,4.46753006034207e-05,4.46753006033961e-05,4.46753006034121e-05
"78597901521600",4.16366899021002e-05,4.16366899021211e-05,4.16366899021111e-05,4.16366899021493e-05,4.16366899020856e-05,0.5130997141847,4.16366899020883e-05,4.16366899021739e-05,4.16366899021167e-05,4.16366899019684e-05,4.16366899021004e-05,4.16366899041189e-05,4.1636689895528e-05,4.16366899022756e-05,4.16366899022715e-05,0.306680018158517,4.16366899021966e-05,4.16366899021129e-05,4.16366899021065e-05,4.1636689922278e-05,4.16366899021624e-05,4.16366896746366e-05,0.0356833435021502,4.16366899021264e-05,4.16366899021187e-05,4.16366899021119e-05,4.16366899021109e-05,0.0234979976713763,4.16366899021021e-05,4.16366899021338e-05,4.16366902188337e-05,0.062262208993688,4.16366895102013e-05,4.16366899021069e-05,4.16366898992284e-05,4.16366899020752e-05,4.16366899021063e-05,0.0224963394434107,0.0349480039695796
"57123065046800",4.677526081519e-05,4.67752608151835e-05,0.0573436403286649,4.67752608151835e-05,4.67752608151897e-05,0.546903492320838,4.67752608151847e-05,0.02037294698146,0.0732561112561842,4.67752608152246e-05,4.67752608156428e-05,0.0439979003611226,4.67752608151912e-05,4.67752609384526e-05,4.67752598972209e-05,0.045317605497865,0.00964545348438487,0.0129366426279327,4.6775260815181e-05,4.67752608151453e-05,4.67752608151153e-05,4.6775260815186e-05,4.67752608151832e-05,0.123220133569667,0.0530442378299006,4.67752608151853e-05,0.00322705700568682,0.00681093245107742,4.67752608164302e-05,4.67752608151695e-05,4.67752608128713e-05,4.67752608152398e-05,4.67752602399329e-05,4.67752608151876e-05,4.67752603722155e-05,4.67752608151831e-05,4.67752608151787e-05,4.67752608151868e-05,0.00270768950583453
"56264071587600",5.84365993882035e-05,5.84365993882072e-05,0.0229397153820052,5.84365993882106e-05,5.84365993882212e-05,0.310281609962228,5.84365993882141e-05,5.84365993882325e-05,5.8436599388179e-05,0.00713150558638412,5.84365993882093e-05,0.0230506112070959,5.84365993882128e-05,5.84365993881116e-05,0.0394726226964515,0.12100271756011,0.0961068914619278,5.84365993882124e-05,5.84365993882154e-05,5.84365993881879e-05,5.84365993882124e-05,5.84365993886805e-05,5.84365993881972e-05,0.249036317389655,5.8436599388212e-05,5.84365993882279e-05,5.8436599378611e-05,5.84365993881782e-05,0.0234119303884779,5.8436599386777e-05,5.84365993884818e-05,5.84365993882036e-05,0.00604584692136442,5.8436599388213e-05,0.00495436680523508,0.0903641531968751,0.00468235985804448,5.84365993882219e-05,5.84365994512893e-05
"75161927689900",4.73168112858441e-05,4.73168112860281e-05,4.73168112859973e-05,4.73168112860434e-05,4.73168112860137e-05,0.602092034509844,4.73168114292719e-05,4.73168112859652e-05,4.73168112859667e-05,4.73168112860003e-05,4.7316811285958e-05,4.7316811285999e-05,4.7316811285927e-05,0.035352589436701,4.73168112860046e-05,4.73168112859971e-05,4.73168112859527e-05,4.73168112858481e-05,4.73168112858566e-05,4.73168112864322e-05,4.73168112831404e-05,0.015097298352344,4.73168109941429e-05,0.217136199604493,0.121238948468736,4.73168112859882e-05,4.73168112859854e-05,4.73168112859962e-05,4.73168112858167e-05,0.00752147485283817,4.73168125126464e-05,4.73168112858297e-05,4.73168121048985e-05,4.73168112859973e-05,4.73168113698187e-05,4.73168112860949e-05,4.73168112857761e-05,4.73168112859919e-05,4.73168119146506e-05
"76020921145700",0.0139349926473609,4.0527947622365e-05,0.30783897464351,4.05279476325971e-05,4.05279476223039e-05,0.410485121008833,0.000124730831058674,4.05279476223774e-05,4.05279476223649e-05,4.05279476223517e-05,4.05279476208053e-05,4.05279473596336e-05,4.05279475176864e-05,4.05279474756307e-05,4.0527947623228e-05,4.05279475481692e-05,0.0473437923604015,4.05279476223906e-05,4.05279476223755e-05,4.05279476223724e-05,4.05279476223758e-05,4.0527947621897e-05,4.05279476223664e-05,0.0220522255704751,4.05279476223143e-05,4.05279476224087e-05,4.05279476223724e-05,4.05279476223784e-05,4.05279476223724e-05,4.05279476223734e-05,4.05279476223367e-05,0.0638340641584024,4.05279476223766e-05,4.05279476224123e-05,0.0494470504763473,4.05279476223441e-05,4.05279476221096e-05,4.05279476223614e-05,0.0837232098755201
"76450417873600",4.35687262113908e-05,4.35687262114397e-05,4.35687242687169e-05,4.35687262113906e-05,4.35687262114095e-05,0.399284084122318,4.35687262113965e-05,4.35687262113737e-05,4.356872621139e-05,4.35687262113939e-05,4.35687262114406e-05,0.0257988842137625,4.35687262114091e-05,4.35687261852948e-05,4.35687261896289e-05,0.349564435190643,4.35687262113873e-05,4.35687262113221e-05,4.35687262114399e-05,4.35687262113563e-05,4.35687262113932e-05,4.35687264070067e-05,4.35687265229005e-05,0.134635373262641,4.35687262113762e-05,0.0243312534657009,0.040021960441759,4.35687262115907e-05,4.35687262113931e-05,0.0249698100665575,4.35687262114086e-05,4.35687262113208e-05,4.35687251011822e-05,4.35687262030014e-05,4.35687262113902e-05,4.35687262113659e-05,4.35687262113963e-05,4.35687262113757e-05,4.3568726667122e-05
