"","ADARB2_GRIK1_Inh","CABP7_CACNA1G_Ex","CABP7_MEIS2_Ex","CADPS2_GATA3_Inh","CCK_ZFHX4_Ex","EMX2_PENK_Inh","FOXP2_TCF7L2_Ex","GATA3_DACH1_Inh","GATA3_LYPD1_Inh","GRIA4_ETV1_Ex","IRX1_IRX2_Inh","KIAA1217_CACNA1G_Ex","KIAA1217_GRIK1_Ex","LYPD1_SCN4B_Ex","MEIS1_ST18_Inh","MEIS2_CALB2_Inh","MEIS2_NDNF_Inh","MEIS2_PAX7_Inh","MEIS2_RELN_Inh","NTNG2_CACNA1G_Ex","NTS_ZFHX4_Ex","NXPH1_POSTN_Ex","PCP4_CADPS2_Inh","PENK_SCN4B_Ex","PVALB_EBF1_Inh","PVALB_LYPD1_Inh","RELN_FOXP2_Inh","RSPO3_SPON1_Ex","SLIT2_ETV1_Ex","SLIT2_FXYD6_Ex","SLIT2_ZFHX4_Ex","SPON1_MEIS2_Ex","SPON1_TAC1_Ex","SST_CACNA1G_Ex","VIP_SOX6_Ex","ZFHX4_CHL1_Inh","ZFHX4_GATA3_Inh","ZFHX4_PAX7_Inh","ZIC1_ZIC2_Ex"
"12455405164600",2.50677382830169e-05,2.50677382830164e-05,0.0353230076994614,2.50677382830225e-05,2.50677382831789e-05,0.408317458419674,2.50677382830173e-05,2.50677382830338e-05,0.0444483516548068,2.50677382830316e-05,2.50677382829822e-05,2.50677382825063e-05,2.50677382830965e-05,2.50677383354273e-05,2.50677382824105e-05,0.15625217303149,2.50677382830642e-05,2.50677382830151e-05,0.129553067491722,2.50677382830121e-05,2.50677384508789e-05,2.50677384367837e-05,2.50677382830231e-05,2.50677382830142e-05,2.50677382830307e-05,2.50677382828615e-05,2.5067738283094e-05,0.018840475589788,2.50677382831249e-05,0.00378034030985971,2.50677382835264e-05,0.0970375756455187,2.50677381487439e-05,2.50677382831173e-05,2.50677388087867e-05,2.50677382829835e-05,0.0880220833890215,2.5067738282962e-05,0.0176985023576858
"33500744916900",0.000384529765846724,3.76938927560957e-05,0.0650996634724867,3.76938927561101e-05,3.76938927561219e-05,0.440843337013167,3.76938937094173e-05,3.76938927560888e-05,0.0651265938730649,3.76938927561101e-05,3.76938927561173e-05,3.76938927561092e-05,3.76938927561661e-05,3.76938927560334e-05,3.76938927561468e-05,0.05022987360521,3.76938927561082e-05,3.76938927561101e-05,3.76938927560943e-05,3.76938927560751e-05,3.76938927541076e-05,3.76938927185155e-05,3.76938927561211e-05,0.0627244019512195,3.769389275611e-05,3.76938927560072e-05,0.00462153663335284,0.0242123952525977,3.76938927561107e-05,3.76938927561115e-05,3.76938927562045e-05,3.76938927561216e-05,3.76938926078999e-05,3.76938927560835e-05,3.76938927220247e-05,0.250634180563787,3.76938927561622e-05,3.76938927561157e-05,0.0350303649786088
"21045339757400",0.11161192598933,0.0116266113421473,0.0701164938278483,5.68662765830108e-05,5.68662765830312e-05,0.452807278172795,5.68662765830343e-05,0.00723612878537674,5.68662765830309e-05,5.68662765830199e-05,0.0418109965016542,5.68662765829782e-05,5.6866276583036e-05,5.68662768299898e-05,5.68662779309715e-05,0.0923414814412741,5.68662765830342e-05,5.68662765830979e-05,5.68662765830283e-05,5.68662765830293e-05,0.0484012036399512,5.6866276583035e-05,5.6866276756046e-05,5.68662765830663e-05,5.686627658307e-05,5.68662765829556e-05,0.00288837757704396,0.0241189097486625,5.68662765830728e-05,5.68662765842709e-05,5.68662765831339e-05,5.68662765830349e-05,0.00379096598647393,0.00968077127487535,0.102007776015511,5.68662765829098e-05,5.68662765830238e-05,5.68662765830251e-05,0.0201394227807113
"13314398623900",2.6662594709997e-05,2.66625947096886e-05,2.66625947100098e-05,2.66625947100615e-05,2.66625946252484e-05,0.375686447533619,2.66625947099406e-05,2.66625947100225e-05,2.66625947099967e-05,2.66625947099832e-05,0.023191635231211,0.0149312262542695,2.66625947099953e-05,2.66625946094273e-05,0.0716845194219583,0.316609139979128,2.66625947099872e-05,0.0426296784649516,2.66625947099561e-05,2.66625947099662e-05,2.66625947100241e-05,2.66625947280764e-05,2.66625947100254e-05,2.66625947099722e-05,2.66625947099797e-05,2.66625947099903e-05,2.66625947099274e-05,0.0218623169767118,2.66625947099929e-05,0.00864639360549313,2.66625947100874e-05,0.123958764692086,2.66625946896219e-05,2.66625947099933e-05,2.66625941697761e-05,2.66625947100733e-05,2.66625947100024e-05,2.66625947100144e-05,2.66625947099969e-05
"13314398625900",2.35102413876225e-05,2.35102413876099e-05,2.35102413876111e-05,0.0335664822215726,2.35102413872929e-05,0.36561669464812,2.35102413876288e-05,0.0142525185019741,2.35102413876134e-05,2.35102413876093e-05,2.35102413875519e-05,2.35102413877938e-05,0.0483890301077255,2.35102419028435e-05,2.3510241557512e-05,0.38653580609033,2.35102413876277e-05,2.3510241387646e-05,2.35102413876111e-05,2.35102413876123e-05,2.35102413876779e-05,2.3510241414542e-05,2.35102414371001e-05,0.0438596124756867,2.35102413879367e-05,2.3510241387579e-05,8.46049814188402e-05,2.35102410267923e-05,2.35102413875987e-05,2.35102413891041e-05,2.35102413876033e-05,2.3510241381658e-05,2.35102413886109e-05,2.3510241389878e-05,2.35102413876403e-05,2.35102413875085e-05,0.106948638531299,4.13051990277979e-05,2.35102422051489e-05
"30064771077400",6.08734044542319e-05,6.08734044542192e-05,6.08734044542026e-05,6.08734044542128e-05,0.0306226477485914,0.417484498943509,6.08734045465492e-05,0.015112109078726,6.08734044542229e-05,6.08734044542189e-05,6.08734044549326e-05,6.0873404455157e-05,6.08734044541988e-05,6.08734043989112e-05,0.0659341683806771,0.121479203552903,6.08734044541986e-05,6.08734044542021e-05,6.08734044542061e-05,6.08734044542411e-05,6.08734044542119e-05,6.08734049405329e-05,0.0442408495238123,0.168886383810523,6.08734044539901e-05,0.0110379949393683,0.0557277486533027,0.0200881278792383,6.08734044562605e-05,6.08734044542011e-05,6.08734044548561e-05,6.08734044541789e-05,6.0873404454214e-05,6.08734044542509e-05,6.08734044543923e-05,0.0254163949977389,6.08734044542147e-05,6.08734044542488e-05,0.0223262905708187
"23622320133500",4.01652423217588e-05,4.01652423218106e-05,0.0854946855302912,4.01652423217931e-05,4.01652423218091e-05,0.768533820023363,4.01652423218367e-05,4.01652423219741e-05,4.01652423217987e-05,4.01652423218212e-05,4.0165242321653e-05,4.01652423607391e-05,0.00542835788187594,0.00930135444254659,4.01652423218168e-05,4.01652423218126e-05,4.01652423218195e-05,4.01652423217999e-05,4.01652423218565e-05,0.014190952576723,4.01652423133143e-05,4.0165242325567e-05,0.0016650494286003,0.0301828748708652,4.01652423218593e-05,4.01652423218126e-05,4.01652423075127e-05,4.01652423218078e-05,4.01652423217827e-05,4.0165242321847e-05,4.01652416593832e-05,0.0501107575230783,4.01652435012233e-05,4.01652423218161e-05,0.0338871904524658,4.01652423216143e-05,4.016524232168e-05,4.0165242321844e-05,4.01652423218244e-05
"27487790698200",4.01446917748699e-05,4.0144691774892e-05,4.01446917748932e-05,4.01446917747432e-05,4.01446917748992e-05,0.706268633619224,4.01446917748835e-05,4.01446917748989e-05,4.01446917748563e-05,4.01446917748713e-05,4.01446917748935e-05,4.01446921252661e-05,4.01446917751201e-05,4.01446917747838e-05,0.130514544957511,0.0295273759122796,4.01446917751106e-05,4.01446917748582e-05,4.01446917128938e-05,4.0144691774919e-05,4.01446915355137e-05,4.0144691774853e-05,4.01446917801947e-05,0.0667397077753921,4.01446917748853e-05,0.0265849362502392,0.0308398856659608,4.01446917749006e-05,4.01446917748862e-05,4.01446917749762e-05,4.01446917748926e-05,4.01446917747997e-05,4.01446917730661e-05,4.01446917749107e-05,4.0144691861167e-05,4.01446917748949e-05,4.01446917748663e-05,0.00824028568245889,4.01446917748887e-05
"27058293969800",5.91775438939452e-05,5.91775438938994e-05,5.91775438938874e-05,5.91775438939241e-05,5.91775438938881e-05,0.272471935437879,5.91775438938877e-05,5.91775438938995e-05,0.0301459704206391,5.9177543893892e-05,5.91775438939255e-05,5.91775438938737e-05,5.91775438938921e-05,5.91775438939119e-05,0.0238683685471119,0.0609176781783123,5.91775438939044e-05,5.9177543893891e-05,5.91775438939308e-05,5.9177543893926e-05,5.91775438941201e-05,5.91775439400245e-05,5.91775438938837e-05,0.233895017104765,5.91775438939004e-05,5.91775438938999e-05,5.91775438928942e-05,5.91775440535056e-05,0.0138111418099692,5.91775438938919e-05,5.91775438938836e-05,5.91775438938805e-05,5.9177543893888e-05,5.91775438938862e-05,5.91775438938841e-05,0.109230036743077,0.0992487166008543,5.91775438938777e-05,0.15463580884037
"21904333213500",4.0134662557482e-05,0.0626777151030329,0.0638325925688692,4.01346625567403e-05,4.01346625625912e-05,0.360157802506725,4.01346625575508e-05,4.01346625575436e-05,4.01346625575525e-05,4.01346625575927e-05,4.01346625575518e-05,4.01346623806396e-05,4.01346625575563e-05,4.01346606878286e-05,0.0507844543046934,0.346468974126567,0.0580986544298248,4.01346625575006e-05,4.0134662557551e-05,4.01346625575622e-05,0.0391059625403702,4.01346625575629e-05,4.01346625411745e-05,0.00462194535184773,4.0134662557484e-05,4.01346625575496e-05,4.0134662558133e-05,0.0130478591954036,4.01346625575157e-05,4.01346625575447e-05,4.01346625579653e-05,4.01346625575531e-05,4.01346616119566e-05,4.01346625576691e-05,4.01346621807349e-05,4.01346625573832e-05,4.01346625575562e-05,4.01346625575504e-05,4.0134661877783e-05
