"","BDNF_Granule1","CACNA1B_PAX2_Inh","FOXP2_Purkinje","Granule2","GRIA1_THY1_Inh","NXPH1_RELN_Inh","NXPH2_PVALB_Inh","PTPRK_PVALB_Inh","PTPRK_RELN_Inh","SNCG_Ex","SNCG_THY1_Inh","TRPC4_UBC"
"45956150094000",0.219147895006304,0.000115204420548333,0.00792897318861829,0.056318578893663,0.000115204420057208,0.000115204420057204,0.000115204420057121,0.000115204420057215,0.00011520442005721,0.715682917550466,0.000115204420057204,0.000115204420057208
"53687091227800",0.156314941140898,0.000117035714584441,0.000117035713473736,0.174834728594596,0.000117035713480184,0.0320285437977651,0.000117035713480198,0.000117035713480185,0.00241829147078436,0.633584245000497,0.000117035713480161,0.000117035713480201
"52398601040400",0.046828430015365,8.59011133061759e-05,8.59011133105693e-05,0.134938561333995,8.59011133061663e-05,8.59011133061736e-05,8.59011133061758e-05,8.59011133061764e-05,8.59011133061795e-05,0.768773591096246,8.59011133061614e-05,0.0487722086479397
"57123065067000",0.117575121727275,8.2132349256058e-05,8.21323492560485e-05,0.210215552252147,8.21323492560409e-05,8.21323492560489e-05,8.21323492560418e-05,8.2132349256055e-05,8.21323492560492e-05,0.671470134877274,8.21323492559687e-05,8.21323492560576e-05
"33071248210900",0.154859280212695,0.000125234339143802,0.000125234338724288,0.123108742285076,0.000125234338776401,0.000125234338776239,0.00012523433877637,0.000125234338296037,0.000125234338776376,0.720904868453407,0.000125234338776374,0.000125234338776374
"59270548715300",0.000128028322684736,0.000128028324718321,0.000128028322690321,0.000128028322684742,0.137583190846247,0.000128028322684742,0.114775962695924,0.0130355845231997,0.000128028322684714,0.733581035351112,0.000128028322684779,0.000128028322684708
"35648228588500",0.0325912497376049,0.0601580523158684,8.09629545537247e-05,0.114620433606006,0.0140803892393514,8.09629545100639e-05,8.09629545100624e-05,8.09629545100552e-05,8.09629545100645e-05,0.777983134419555,8.0962954510077e-05,8.09629545100447e-05
"51539607586200",0.000141112623300392,0.000141112624560399,0.00934123056784622,0.000141112623300398,0.000141112623300504,0.00014111262330041,0.111953334029371,0.000141112623300383,0.00014111262330038,0.877435421791819,0.000141112623300331,0.000141112623300393
"48103633747500",0.209574418143,0.000123212890378066,0.000123212890380529,0.107125989891985,0.000123212890377249,0.000123212890377262,0.000123212890377261,0.000123212890377271,0.000123212890377263,0.682190675951616,0.000123212890377279,0.000123212890377256
"47674137019400",0.000129421560762232,0.000129421561352958,0.0484486168515351,0.000129421560762262,0.000129421560762241,0.000129421560762223,0.000129421560762323,0.00012942156076224,0.085610213702352,0.864776375398662,0.000129421560762215,0.000129421560762241
